,City,Cloudiness (%),Country,Date (Unix UTC),Humidity (%),Lat,Lng,Max Temp (F),Wind Speed (mph)
0,Albany,90,US,1577927162,55,42.65,-73.75,35.6,11.4087
1,Rome,0,IT,1577926987,65,41.89,12.48,48.00200000000008,6.9347
2,Ushuaia,75,AR,1577927247,59,-54.81,-68.31,60.8,12.750900000000001
3,Bandarbeyla,4,SO,1577927247,80,9.49,50.81,78.22400000000002,14.7642
4,Goma,98,CD,1577927247,89,-1.67,29.23,55.814000000000036,0.6711
5,Padang,94,ID,1577927248,79,-0.92,100.36,69.63800000000005,5.480650000000001
6,Zaysan,48,KZ,1577927248,94,47.47,84.87,5.341999999999995,2.63966
7,Rikitea,97,PF,1577927248,78,-23.12,-134.97,78.98000000000005,9.373030000000002
8,Narsaq,3,GL,1577927248,55,60.91,-46.05,6.800000000000001,4.6977
9,New Norfolk,40,AU,1577927248,33,-42.78,147.06,71.6,13.8694
10,Arraial do Cabo,94,BR,1577927248,83,-22.97,-42.02,77.46800000000009,26.844
11,Sungaipenuh,86,ID,1577927249,96,-2.08,101.38,61.82600000000009,2.93047
12,Vila Franca do Campo,40,PT,1577927105,82,37.72,-25.43,59.0,2.237
13,Cidreira,44,BR,1577927249,87,-30.17,-50.22,75.97400000000002,19.61849
14,Nevsehir,75,TR,1577927249,100,38.62,34.71,33.8,2.237
15,Ahipara,23,NZ,1577927249,64,-35.17,173.16,86.0,5.010880000000001
16,Mataura,94,NZ,1577927249,76,-46.19,168.86,60.08000000000004,4.0266
17,Hamilton,40,CA,1577927130,85,43.26,-79.87,32.0,8.0532
18,Atuona,5,PF,1577927250,75,-9.8,-139.03,80.31200000000007,16.978830000000002
19,Cape Town,20,ZA,1577927056,93,-33.93,18.42,68.0,12.750900000000001
20,Acapulco,20,MX,1577927250,74,16.86,-99.88,82.4,5.8162
21,Port Lincoln,8,AU,1577927250,58,-34.72,135.86,70.44800000000004,11.386330000000001
22,Belmonte,9,PT,1577927250,30,40.36,-7.35,42.008,1.00665
23,Praia,40,BR,1577927250,69,-20.25,-43.81,75.2,6.9347
24,Acucena,85,BR,1577927251,93,-19.07,-42.55,68.75600000000003,3.42261
25,Punta Arenas,98,CL,1577927251,51,-53.16,-70.91,64.00400000000005,14.987900000000002
26,Rawson,0,AR,1577927093,66,-43.3,-65.11,65.642,22.705550000000002
27,Mbuji-Mayi,100,CD,1577927251,93,-6.13,23.6,71.43800000000005,5.63724
28,Natal,40,BR,1577927251,78,-5.81,-35.21,80.6,9.1717
29,Butaritari,81,KI,1577927251,75,3.07,172.79,84.79400000000007,6.554410000000001
30,Nago,0,IT,1577927252,80,45.88,10.89,39.00200000000008,3.3555
31,Waitara,82,NZ,1577927252,78,-39.0,174.24,71.99600000000005,11.99032
32,Aleksandrovsk-Sakhalinskiy,100,RU,1577927252,92,50.9,142.16,5.954000000000054,12.549570000000001
33,Meulaboh,92,ID,1577927252,73,4.14,96.13,79.23200000000003,9.48488
34,Bonavista,100,CA,1577927252,98,48.65,-53.11,34.37600000000009,26.77689
35,Tautira,100,PF,1577927253,70,-17.73,-149.15,86.0,18.00785
36,Lorengau,100,PG,1577927253,73,-2.02,147.27,84.12800000000007,5.65961
37,Barrow,0,AR,1577927253,89,-38.31,-60.23,58.78399999999999,8.0532
38,Leh,70,IN,1577927253,52,34.16,77.58,-2.5419999999999447,1.16324
39,Cockburn Town,35,TC,1577927057,73,21.46,-71.14,78.566,11.76662
40,Castro,3,CL,1577927254,55,-42.48,-73.76,66.2,4.6977
41,Bathsheba,40,BB,1577927254,69,13.22,-59.52,80.6,16.1064
42,Puerto Leguizamo,8,CO,1577927254,72,-0.19,-74.78,75.70400000000006,2.34885
43,Tabou,74,CI,1577927254,92,4.42,-7.36,76.49600000000005,1.14087
44,Hofn,100,IS,1577927254,72,64.25,-15.21,40.46000000000008,32.07858
45,Broome,0,GB,1577927255,93,52.47,1.45,44.00600000000003,8.0532
46,Portel,11,BR,1577927255,97,-1.94,-50.82,73.81400000000004,2.9081
